,Usia,Gender,Gaji,Jumlah Anak
0,21,P,1-3jt,0
1,28,L,1-3jt,1
2,42,L,1-3jt,3
3,44,P,1-3jt,2
4,27,P,1-3jt,5
5,19,L,1-3jt,4
6,52,P,1-3jt,3
7,36,P,1-3jt,0
8,55,L,1-3jt,1
9,17,P,1-3jt,2
10,38,L,1-3jt,0
11,55,P,1-3jt,5
12,49,P,1-3jt,4
13,49,L,1-3jt,1
14,49,P,1-3jt,6
15,48,L,1-3jt,3
16,18,L,1-3jt,6
17,30,L,1-3jt,0
18,20,P,1-3jt,6
19,41,L,1-3jt,6
20,27,L,1-3jt,3
21,45,L,1-3jt,1
22,57,P,1-3jt,4
23,41,P,1-3jt,6
24,30,P,1-3jt,2
25,41,L,1-3jt,3
26,55,P,1-3jt,4
27,21,L,1-3jt,4
28,49,P,1-3jt,3
29,32,L,1-3jt,6
30,45,L,1-3jt,2
31,28,L,1-3jt,3
32,41,L,1-3jt,0
33,23,L,1-3jt,5
34,51,P,1-3jt,4
35,46,P,1-3jt,4
36,36,P,1-3jt,1
37,39,P,1-3jt,3
38,35,L,1-3jt,3
39,48,P,1-3jt,3
40,25,L,1-3jt,1
41,49,P,1-3jt,2
42,29,L,1-3jt,1
43,24,L,1-3jt,4
44,19,L,1-3jt,3
45,26,P,1-3jt,5
46,60,L,1-3jt,0
47,32,P,1-3jt,5
48,57,L,1-3jt,1
49,31,L,1-3jt,2
50,33,L,1-3jt,3
51,56,P,1-3jt,6
52,47,P,1-3jt,2
53,46,L,1-3jt,5
54,59,L,1-3jt,3
55,29,L,1-3jt,4
56,57,L,1-3jt,3
57,58,P,1-3jt,4
58,46,P,1-3jt,5
59,54,L,1-3jt,5
60,60,L,1-3jt,6
61,54,L,1-3jt,0
62,51,P,1-3jt,5
63,51,L,1-3jt,0
64,26,L,1-3jt,4
65,60,L,1-3jt,2
66,59,P,1-3jt,1
67,35,P,1-3jt,0
68,42,L,1-3jt,0
69,53,L,1-3jt,4
70,21,L,1-3jt,3
71,56,L,1-3jt,3
72,50,P,1-3jt,2
73,57,P,1-3jt,2
74,52,P,1-3jt,2
75,37,L,1-3jt,4
76,39,L,1-3jt,5
77,50,P,1-3jt,2
78,25,L,1-3jt,5
79,30,L,1-3jt,1
80,58,L,1-3jt,6
81,25,L,1-3jt,2
82,32,L,1-3jt,3
83,41,P,1-3jt,1
84,52,P,1-3jt,0
85,52,L,1-3jt,4
86,29,P,1-3jt,5
87,35,L,1-3jt,0
88,31,P,1-3jt,5
89,17,L,1-3jt,3
90,57,P,1-3jt,4
91,23,P,1-3jt,2
92,21,P,1-3jt,5
93,22,L,1-3jt,0
94,24,L,1-3jt,5
95,24,L,1-3jt,5
96,47,L,1-3jt,1
97,46,L,1-3jt,6
98,18,L,1-3jt,4
99,25,P,1-3jt,4
100,35,P,1-3jt,4
101,21,L,1-3jt,2
102,44,P,1-3jt,1
103,49,L,1-3jt,3
104,40,L,1-3jt,6
105,18,L,1-3jt,4
106,36,L,1-3jt,3
107,28,L,1-3jt,1
108,52,P,1-3jt,5
109,47,L,1-3jt,2
110,57,P,1-3jt,1
111,26,L,1-3jt,2
112,32,P,1-3jt,0
113,25,P,1-3jt,1
114,47,P,1-3jt,0
115,45,L,1-3jt,4
116,34,P,1-3jt,2
117,30,P,1-3jt,5
118,21,P,1-3jt,2
119,43,P,1-3jt,5
120,31,P,1-3jt,3
121,30,P,1-3jt,6
122,22,L,1-3jt,5
123,29,L,1-3jt,3
124,42,P,1-3jt,6
125,25,P,1-3jt,2
126,27,L,1-3jt,4
127,49,L,1-3jt,3
128,51,L,1-3jt,2
129,23,L,1-3jt,5
130,33,L,1-3jt,3
131,24,L,1-3jt,1
132,43,L,1-3jt,2
133,56,P,1-3jt,4
134,25,P,1-3jt,1
135,22,L,1-3jt,2
136,18,L,1-3jt,4
137,52,L,1-3jt,4
138,31,P,1-3jt,3
139,36,L,1-3jt,3
140,31,P,1-3jt,3
141,43,P,1-3jt,1
142,24,P,1-3jt,3
143,26,L,1-3jt,6
144,30,P,1-3jt,5
145,60,L,1-3jt,5
146,28,P,1-3jt,4
147,37,P,1-3jt,1
148,47,P,1-3jt,4
149,25,P,1-3jt,1
150,47,P,1-3jt,0
151,56,P,1-3jt,5
152,28,L,1-3jt,1
153,24,L,1-3jt,6
154,49,P,1-3jt,0
155,56,P,1-3jt,3
156,57,L,1-3jt,3
157,37,P,1-3jt,2
158,26,P,1-3jt,4
159,56,P,1-3jt,3
160,36,P,1-3jt,6
161,33,L,1-3jt,1
162,41,L,1-3jt,3
163,43,L,1-3jt,6
164,18,P,1-3jt,1
165,58,L,1-3jt,2
166,28,P,1-3jt,1
167,42,P,1-3jt,3
168,46,P,1-3jt,1
169,47,P,1-3jt,4
170,35,P,1-3jt,3
171,29,L,1-3jt,0
172,48,L,1-3jt,1
173,45,P,1-3jt,5
174,43,P,1-3jt,4
175,45,P,1-3jt,4
176,30,P,1-3jt,5
177,34,P,1-3jt,4
178,43,P,1-3jt,3
179,37,P,1-3jt,0
180,30,P,1-3jt,6
181,52,L,1-3jt,5
182,39,P,1-3jt,6
183,33,L,1-3jt,4
184,20,L,1-3jt,0
185,39,L,1-3jt,5
186,28,L,1-3jt,2
187,23,P,1-3jt,4
188,32,L,1-3jt,5
189,32,P,1-3jt,5
190,43,L,1-3jt,4
191,17,P,1-3jt,4
192,45,P,1-3jt,2
193,56,P,1-3jt,1
194,55,L,1-3jt,3
195,44,L,1-3jt,4
196,31,L,1-3jt,0
197,18,L,1-3jt,2
198,48,P,1-3jt,1
199,22,L,1-3jt,0
200,23,P,1-3jt,4
201,34,P,1-3jt,6
202,55,P,1-3jt,2
203,56,L,1-3jt,6
204,33,P,1-3jt,4
205,47,P,1-3jt,5
206,35,L,1-3jt,0
207,37,P,1-3jt,2
208,43,L,1-3jt,0
209,38,P,1-3jt,2
210,27,L,1-3jt,1
211,21,P,1-3jt,6
212,34,L,1-3jt,1
213,23,L,1-3jt,1
214,42,L,1-3jt,4
215,33,P,1-3jt,2
216,22,P,1-3jt,1
217,24,P,1-3jt,3
218,43,P,1-3jt,5
219,32,P,1-3jt,6
220,56,P,1-3jt,1
221,59,L,1-3jt,4
222,22,P,1-3jt,6
223,24,L,1-3jt,6
224,40,L,1-3jt,3
225,19,L,1-3jt,3
226,52,P,1-3jt,1
227,20,L,1-3jt,5
228,27,L,1-3jt,2
229,32,L,1-3jt,3
230,40,L,1-3jt,6
231,37,P,1-3jt,3
232,17,L,1-3jt,3
233,29,L,1-3jt,0
234,53,L,1-3jt,0
235,21,P,1-3jt,6
236,32,P,1-3jt,0
237,23,L,1-3jt,5
