,Usia,Gender,Gaji,Jumlah Anak
0,53,P,5-10jt,2
1,37,P,5-10jt,2
2,40,P,5-10jt,2
3,36,L,5-10jt,3
4,56,L,5-10jt,1
5,34,P,5-10jt,0
6,58,P,5-10jt,3
7,25,L,5-10jt,1
8,50,P,5-10jt,3
9,42,P,5-10jt,3
10,47,P,5-10jt,4
11,51,P,5-10jt,6
12,31,P,5-10jt,6
13,49,P,5-10jt,6
14,37,L,5-10jt,4
15,40,L,5-10jt,6
16,32,L,5-10jt,6
17,45,P,5-10jt,0
18,37,L,5-10jt,3
19,47,P,5-10jt,0
20,50,L,5-10jt,6
21,43,P,5-10jt,0
22,18,P,5-10jt,6
23,19,P,5-10jt,0
24,58,P,5-10jt,6
25,48,L,5-10jt,0
26,46,P,5-10jt,4
27,18,P,5-10jt,5
28,44,L,5-10jt,1
29,29,L,5-10jt,5
30,34,L,5-10jt,5
31,47,P,5-10jt,5
32,44,L,5-10jt,2
33,37,P,5-10jt,2
34,58,L,5-10jt,4
35,28,L,5-10jt,3
36,26,L,5-10jt,1
37,46,L,5-10jt,6
38,41,P,5-10jt,2
39,52,L,5-10jt,1
40,44,P,5-10jt,1
41,47,L,5-10jt,2
42,53,P,5-10jt,1
43,45,L,5-10jt,1
44,41,P,5-10jt,5
45,48,L,5-10jt,3
46,36,L,5-10jt,2
47,28,L,5-10jt,3
48,25,L,5-10jt,0
49,28,L,5-10jt,6
50,29,L,5-10jt,6
51,51,L,5-10jt,5
52,24,P,5-10jt,0
53,39,P,5-10jt,5
54,18,P,5-10jt,4
55,22,L,5-10jt,6
56,27,L,5-10jt,1
57,52,L,5-10jt,6
58,47,L,5-10jt,2
59,51,L,5-10jt,1
60,46,L,5-10jt,5
61,58,L,5-10jt,4
62,41,P,5-10jt,1
63,32,P,5-10jt,4
64,53,L,5-10jt,3
65,52,P,5-10jt,0
66,38,P,5-10jt,0
67,17,P,5-10jt,6
68,42,L,5-10jt,5
69,29,P,5-10jt,4
70,44,L,5-10jt,3
71,39,P,5-10jt,2
72,28,L,5-10jt,2
73,48,L,5-10jt,1
74,38,P,5-10jt,3
75,49,L,5-10jt,2
76,49,L,5-10jt,5
77,42,L,5-10jt,6
78,30,P,5-10jt,5
79,31,P,5-10jt,1
80,38,L,5-10jt,1
81,45,P,5-10jt,5
82,51,P,5-10jt,6
83,54,L,5-10jt,5
84,51,P,5-10jt,2
85,35,P,5-10jt,6
86,30,L,5-10jt,3
87,50,P,5-10jt,2
88,30,L,5-10jt,3
89,34,P,5-10jt,1
90,48,L,5-10jt,4
91,43,P,5-10jt,5
92,49,P,5-10jt,3
93,37,P,5-10jt,3
94,23,P,5-10jt,1
95,51,P,5-10jt,0
96,39,L,5-10jt,5
97,42,L,5-10jt,3
98,24,L,5-10jt,4
99,22,L,5-10jt,5
100,22,L,5-10jt,2
101,47,P,5-10jt,0
102,28,P,5-10jt,0
103,47,L,5-10jt,6
104,57,P,5-10jt,0
105,19,L,5-10jt,5
106,53,P,5-10jt,5
107,55,L,5-10jt,4
108,35,P,5-10jt,3
109,20,L,5-10jt,4
110,24,L,5-10jt,4
111,19,P,5-10jt,0
112,18,L,5-10jt,5
113,20,L,5-10jt,6
114,59,L,5-10jt,0
115,40,P,5-10jt,1
116,40,L,5-10jt,3
117,25,L,5-10jt,0
118,56,P,5-10jt,5
119,45,L,5-10jt,5
120,30,L,5-10jt,4
121,20,L,5-10jt,1
122,20,L,5-10jt,0
123,48,P,5-10jt,1
124,23,P,5-10jt,0
125,49,P,5-10jt,5
126,18,P,5-10jt,5
127,31,L,5-10jt,3
128,28,L,5-10jt,3
129,58,P,5-10jt,2
130,29,P,5-10jt,3
131,43,L,5-10jt,6
132,22,P,5-10jt,0
133,53,P,5-10jt,4
134,31,L,5-10jt,2
135,25,L,5-10jt,1
136,54,L,5-10jt,2
137,41,L,5-10jt,6
138,22,P,5-10jt,1
139,21,L,5-10jt,5
140,23,L,5-10jt,6
141,40,P,5-10jt,5
142,20,L,5-10jt,1
143,26,L,5-10jt,4
